"","X","Name","ID","group","num_detections_mean","num23_mean","area_mean","FOSmm2"
"168",168,"DMH",NA,"IBE2",534.666666666667,1.33333333333333,205076,6.50165467111378
"169",169,"DMH",NA,"ENT",495.5,44.25,201278.475,219.844670424893
"170",170,"DMH",NA,"T40",521.5,31.25,201094.35,155.399691736739
"171",171,"DMH",NA,"A1",541.333333333333,10.6666666666667,207625.233333333,51.3746161553584
"172",172,"DMH",NA,"IBE2",543,0,207250.3,0
"173",173,"DMH",NA,"IBE1",503,4,204062.6,19.6018280664855
"174",174,"DMH",NA,"ENT",452.333333333333,50,205071.066666667,243.817915480357
"175",175,"DMH",NA,"A2",444.5,28,208688.925,134.170991584724
"176",176,"DMH",NA,"A1",411.333333333333,30.6666666666667,203849.233333333,150.43797891808
"177",177,"DMH",NA,"A1",522,24.3333333333333,202598.033333333,120.106463685646
"178",178,"DMH",NA,"ENT",494.666666666667,68,201491.766666667,337.482772248923
"179",179,"DMH",NA,"IBE1",697,35.3333333333333,216566.033333333,163.152701231541
"180",180,"DMH",NA,"IBE1",548.333333333333,7.66666666666667,204058.366666667,37.5709498801895
"181",181,"DMH",NA,"T40",515,31.6666666666667,204966.8,154.49656562266
"182",182,"DMH",NA,"A2",303,20.6666666666667,203992.7,101.310814880467
"183",183,"DMH",NA,"A1",483.666666666667,10,202152.166666667,49.4676864705052
"184",184,"DMH",NA,"A2",507.25,33.75,202348,166.791863522249
"185",185,"DMH",NA,"T40",479,21.3333333333333,201154.5,106.05446725444
"186",186,"DMH",NA,"A1",499,8.66666666666667,203626.833333333,42.5615157137935
"187",187,"DMH",NA,"A1",433.666666666667,19.3333333333333,206326.233333333,93.7027396903964
"188",188,"DMH",NA,"IBE1",583,18,206247.5,87.2737851367895
"189",189,"DMH",NA,"ENT",532,19.6666666666667,207851.7,94.6187433957322
"190",190,"DMH",NA,"IBE1",407,0.666666666666667,206727.733333333,3.22485355939987
"191",191,"DMH",NA,"ENT",496,10,205172.55,48.7394634418688
"192",192,"ME",NA,"T40",100.5,1,32162.7,31.0919170343286
"193",193,"ME",NA,"IBE1",109,3,48755.4,61.5316457253966
"194",194,"PathAnnotationObject",NA,"A1",24,7,10619.1,659.189573504346
"195",195,"PT",NA,"T40",79,0,10023.95,0
"196",196,"PT",NA,"IBE1",290,7,46927.05,149.167697522005
"197",197,"PT",NA,"ENT",172.333333333333,0,24933.8333333333,0
"198",198,"PT",NA,"IBE2",146.666666666667,0,17822,0
