Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,ROI: 1.00 µm per pixel: OD Sum: Mean,ROI: 1.00 µm per pixel: OD Sum: Std.dev.,ROI: 1.00 µm per pixel: OD Sum: Min,ROI: 1.00 µm per pixel: OD Sum: Max
H254-39.vsi - 20x,4f27d9aa-5732-497e-8c1c-998ea51e644c,FOS,FOS,PH,Polygon,2910.5,7070.4,0.3454,,,
H254-39.vsi - 20x,4bb23c6e-cd20-4641-800f-71700fa56b6a,FOS,FOS,PH,Polygon,2746.4,7090.9,0.3537,,,
H254-39.vsi - 20x,6722b072-ea98-423c-b9ca-690f72b8ca5d,FOS,FOS,PH,Polygon,2792,7167.8,0.3848,,,
H254-39.vsi - 20x,fd1e0bc7-2a17-4e17-a1b8-516b7289fb53,FOS,FOS,PH,Polygon,2769.4,7311.1,0.4111,,,
H254-39.vsi - 20x,7639adb1-75a3-48ce-a3ac-111f5372012e,FOS,FOS,PH,Polygon,2221.7,7315.2,0.3433,,,
H254-39.vsi - 20x,bd0ab246-10b2-4ca7-bda1-3bdc5e84c8ec,FOS,FOS,PH,Polygon,2123.5,7317.1,0.3578,,,
H254-39.vsi - 20x,542d6fb6-c373-46a3-b6e6-31013bef302c,FOS,FOS,PH,Polygon,2900.8,7332.5,0.3715,,,
H254-39.vsi - 20x,7477a665-4b0d-49fb-b83e-a73969407e76,FOS,FOS,PH,Polygon,2018.2,7337.4,0.3717,,,
H254-39.vsi - 20x,a7deba71-e345-46ee-ac2e-c5d21c55c6c4,FOS,FOS,PH,Polygon,2834.2,7376.6,0.3765,,,
H254-39.vsi - 20x,24e3e1be-c7a9-4d99-8948-6caa78bed837,FOS,FOS,PH,Polygon,2813.8,7389.4,0.3604,,,
H254-39.vsi - 20x,22ca6fa3-b635-41ec-9696-1d3c8c78b66b,FOS,FOS,PH,Polygon,2095.5,7391.8,0.4303,,,
H254-39.vsi - 20x,8d527273-9366-4fa8-87bb-cca286b16964,FOS,FOS,PH,Polygon,2784.2,7396.6,0.3827,,,
H254-39.vsi - 20x,2b943a3b-d924-488a-992f-ba558df0df49,FOS,FOS,PH,Polygon,2129.5,7418.3,0.3944,,,
H254-39.vsi - 20x,84a8e1cc-9d56-4f81-9811-8a1e54d36971,FOS,FOS,PH,Polygon,1953.8,7455.9,0.3408,,,
H254-39.vsi - 20x,7886b3fa-0326-401b-b8f8-c4e3daf1c9e8,FOS,FOS,PH,Polygon,2213.9,7463.8,0.348,,,
H254-39.vsi - 20x,3f5ba498-5470-4e3f-9a33-7733a92f72dd,FOS,FOS,PH,Polygon,2754.3,7473.8,0.3542,,,
H254-39.vsi - 20x,6fc0f76c-c6db-4492-9528-a5c5b9955bad,FOS,FOS,PH,Polygon,2237,7490.6,0.4529,,,
H254-39.vsi - 20x,7d20a2e7-ce4b-4aaa-9957-590388f64f4b,FOS,FOS,PH,Polygon,2251.4,7512.3,0.3343,,,
H254-39.vsi - 20x,07bdbd4b-77f9-42d3-b6b5-0b17d14f0237,FOS,FOS,PH,Polygon,2244,7512.7,0.3345,,,
H254-39.vsi - 20x,2153b2a8-481a-466e-8c85-7d33bdc56255,FOS,FOS,PH,Polygon,2261.4,7520.7,0.3285,,,
H254-39.vsi - 20x,1c808263-69fd-480a-96ef-b3bb6cc356b1,FOS,FOS,PH,Polygon,2371.3,7524.2,0.4373,,,
H254-39.vsi - 20x,ba37e97f-d050-4826-bb65-f2ea0b3b704b,FOS,FOS,PH,Polygon,2107,7534.6,0.3353,,,
H254-39.vsi - 20x,85e7b8c8-795e-4518-b050-0d57df36d4fc,FOS,FOS,PH,Polygon,2921.3,7559.9,0.3548,,,
H254-39.vsi - 20x,cfdd47c4-f3cd-4464-9055-5f1be234f2d3,FOS,FOS,PH,Polygon,2465.6,7575.6,0.3605,,,
H254-39.vsi - 20x,f55023a4-2c55-4f7d-b77c-54bd64212064,FOS,FOS,PH,Polygon,2280.1,7590.6,0.3854,,,
H254-39.vsi - 20x,19b397e5-2bc4-4ed7-9971-da1fbec25597,FOS,FOS,PH,Polygon,2322.4,7624.5,0.3247,,,
H254-39.vsi - 20x,300ac432-8533-4fdd-84fc-77bbdb62f13f,FOS,FOS,PH,Polygon,2234.9,7633.2,0.3691,,,
H254-39.vsi - 20x,5e637cf7-d999-45f1-b388-89763d0401b9,FOS,FOS,PH,Polygon,2188.9,7634.8,0.3568,,,
H254-39.vsi - 20x,08051649-cd29-4bac-9df2-d914fe8a3719,FOS,FOS,PH,Polygon,3011.6,7654.9,0.3644,,,
H254-39.vsi - 20x,6dfec91e-7a29-44e6-ba5b-a11a32ffa04d,FOS,FOS,PH,Polygon,2044.9,7674.6,0.431,,,
H254-39.vsi - 20x,3d394d24-9afc-4a52-8459-8e3286b86f11,FOS,FOS,PH,Polygon,2372.9,7714.7,0.3477,,,
H254-39.vsi - 20x,e6982443-7f09-45a8-ae1f-3d504909c02b,FOS,FOS,PH,Polygon,2284.9,7806.1,0.3648,,,
H254-39.vsi - 20x,1a58d5c1-6d63-4a8a-b630-1c9b77c68c87,FOS,FOS,PH,Polygon,2049.2,7839.7,0.3545,,,
H254-39.vsi - 20x,981aa74d-94aa-4f19-adf1-c2f0374c697e,FOS,FOS,ATAN,Polygon,2632,8032,0.3469,,,
H254-39.vsi - 20x,a54a8fad-59d0-4155-895d-6d311bf711fe,FOS,FOS,ATAN,Polygon,2625.9,8041,0.3465,,,
H254-39.vsi - 20x,068d3578-6d11-487c-89f0-61c8e7c433d5,FOS,FOS,ATAN,Polygon,2703,8533.1,0.3492,,,
H254-39.vsi - 20x,98049936-37b6-4dd8-94b1-14d4438726df,FOS,FOS,ATAN,Polygon,2709.1,8555.2,0.4083,,,
H254-39.vsi - 20x,4c575a4d-015f-466d-809b-637317e860f4,FOS,FOS,VMH,Polygon,2931.1,8689.7,0.3422,,,
H254-39.vsi - 20x,34b01fb5-6d5e-49c9-bcd1-096b8ca9475b,FOS,FOS,ARC,Polygon,9606.4,9274.6,0.4677,,,
H254-39.vsi - 20x,8afec567-2218-428d-8cbe-d984b1cfae14,FOS,FOS,ARC,Polygon,8938.9,9356,0.3544,,,
H254-39.vsi - 20x,839d6171-0bc8-4925-8b64-c524623784ad,FOS,FOS,ARC,Polygon,9163.5,9364.9,0.3376,,,
H254-39.vsi - 20x,f1d7636a-dcda-4f68-9e9b-1c62eaa5e767,FOS,FOS,VMH,Polygon,9027.2,8693.6,0.3512,,,
H254-39.vsi - 20x,a3f3d0d1-b129-49f9-89fb-95c37dfdf7ec,FOS,FOS,DMH,Polygon,9057.5,8234.8,0.3689,,,
H254-39.vsi - 20x,db2fc1c9-b953-46a5-acac-2d7a5ec76963,FOS,FOS,DMH,Polygon,9214.7,8313.2,0.3439,,,
H254-39.vsi - 20x,d44e321c-b51e-4924-857d-ea57de8059d3,FOS,FOS,DMH,Polygon,9271,8342.8,0.3569,,,
H254-39.vsi - 20x,64c4c3b8-dfd1-4ab7-872a-d392f5d82aa7,FOS,FOS,DMH,Polygon,9086.7,8364.3,0.3335,,,
H254-39.vsi - 20x,3ca6185d-539d-4486-8c99-c93d27e4aed5,FOS,FOS,DMH,Polygon,9493.1,8431.2,0.3731,,,
H254-39.vsi - 20x,7c8a99c8-dbc0-4772-a0ba-f9a41620e3dc,FOS,FOS,DMH,Polygon,9644.7,8441.5,0.3682,,,
