"","X","Name","ID","group","num_det_mean","pos_th_mean","area_mean","AreaFOSmm2"
"231",231,"MnPO","H319","ENT",644,1359.52155,269990.4,5035.44403801024
"232",232,"OVLT","H028","T40",314,611.519433333333,41221.8,14834.8551818051
"233",233,"OVLT","H038","T40",473,3296.0686,67172.3,49068.8661844242
"234",234,"OVLT","H069","T40",410,1751.637025,61832.15,28328.9037337372
"235",235,"OVLT","H074","T40",415.25,2359.5375,65164.325,36209.0376904848
"236",236,"OVLT","H211","IBE2",523,9.3372,89500.7,104.32544103007
"237",237,"OVLT","H216","A1",385,83.9292,62356.0666666667,1345.96687197503
"238",238,"OVLT","H222","A1",407.75,543.273675,77043.9,7051.48201220343
"239",239,"OVLT","H224","IBE1",545.5,409.52715,72179.65,5673.7203630109
"240",240,"OVLT","H230","ENT",470,92.32215,83459.95,1106.18506241617
"241",241,"OVLT","H236","A2",328.888888888889,661.933875,51943.1666666667,12743.4255067237
"242",242,"OVLT","H241","ENT",362,18.142925,45148.4,401.850896155789
"243",243,"OVLT","H243","ENT",350,33.00515,55384.45,595.928098951962
"244",244,"OVLT","H245","IBE1",531,797.0704,99901.4,7978.57087087869
"245",245,"OVLT","H250","A2",434,2030.26136666667,71163.5666666667,28529.505500708
"246",246,"OVLT","H254","ENT",519,3.05676666666667,72799.4333333333,41.9888799500729
"247",247,"OVLT","H263","A1",357.333333333333,1976.1796,80275,24617.6219246341
"248",248,"OVLT","H268","IBE1",372,250.4964,51882.1,4828.18544353447
"249",249,"OVLT","H273","A2",382.666666666667,1818.68516666667,74067.8666666667,24554.3074009602
"250",250,"OVLT","H274","IBE2",546,43.3448,89571.7,483.911771240247
"251",251,"OVLT","H275","IBE2",507,110.38545,98624.6,1119.24864587537
"252",252,"OVLT","H276","A1",437,2907.29755,52510.05,55366.4974609622
"253",253,"OVLT","H278","IBE1",186,67.5913,24906.3,2713.82341014121
"254",254,"OVLT","H298","A1",459.75,1486.41015,78100.25,19032.0792827168
"255",255,"OVLT","H300","A2",420.666666666667,508.517133333333,84880.1,5991.00535147029
"256",256,"OVLT","H301","IBE2",474,32.5264,67433,482.351370990465
"257",257,"OVLT","H307","ENT",471.5,234.85125,55326.7,4244.80856440019
"258",258,"OVLT","H319","ENT",526.666666666667,31.8237,76718.3,414.812372015543
"259",259,"PT","H028","T40",188.625,1504.8462625,14292.4875,105289.318077067
"260",260,"PT","H038","T40",153.5,2321.736425,19812.8,117183.660310506
"261",261,"PT","H069","T40",96.3636363636364,814.737481818182,8518.88181818182,95639.0168577396
"262",262,"PT","H074","T40",209.4,3416.38558,17881.5,191056.990744624
"263",263,"PT","H211","IBE2",551,269.6276,68632.4,3928.57600783303
"264",264,"PT","H216","A1",444.666666666667,6783.23763333333,45410.6333333333,149375.534658182
"265",265,"PT","H222","A1",253.5,5716.49535,24984.1,228805.334192546
"266",266,"PT","H224","IBE1",249.666666666667,27.9149333333333,23064.7333333333,1210.28641128881
"267",267,"PT","H236","A2",327.428571428571,7112.86838571429,33489.1714285714,212393.083563899
"268",268,"PT","H241","ENT",234.333333333333,140.047266666667,46990.9666666667,2980.30188780965
"269",269,"PT","H243","ENT",408,366.772,40909.35,8965.48099639814
"270",270,"PT","H248","A2",408.5,8601.60308333333,40919.1,210209.97732925
"271",271,"PT","H254","ENT",322.333333333333,95.6731666666667,31668.7666666667,3021.0575509203
"272",272,"PT","H263","A1",226.5,4354.431025,23817.7,182823.32152139
"273",273,"PT","H264","IBE1",680,201.80565,59103.375,3414.45222036813
"274",274,"PT","H268","IBE1",519.666666666667,226.304466666667,47120.3333333333,4802.69239747881
"275",275,"PT","H273","A2",472,8586.08626666667,41466.1333333333,207062.621384198
"276",276,"PT","H275","IBE2",464.5,73.8564,42969.2,1718.82185379295
"277",277,"PT","H276","A1",395,9569.999425,48651.575,196704.822505746
"278",278,"PT","H278","IBE1",192,28.8416,20352.85,1417.07918055702
"279",279,"PT","H298","A1",426.5,2945.83655,38158.55,77199.9080153727
"280",280,"PT","H300","A2",385,2561.079625,43748.75,58540.635446727
"281",281,"PT","H301","IBE2",317.818181818182,124.953563636364,29392.9909090909,4251.13470156306
"282",282,"PT","H319","ENT",218.6,27.94828,25830.84,1081.97333110344
"283",283,"PT","H327","IBE2",293.833333333333,69.36565,38220.45,1814.88313193591
"284",284,"VMH","H028","T40",742.625,769.378625,230830.7875,3333.08495514274
"285",285,"VMH","H038","T40",568,723.2933,266835.075,2710.63802238143
"286",286,"VMH","H069","T40",817.4,721.01494,279257.76,2581.89759883485
"287",287,"VMH","H074","T40",786.833333333333,500.02415,229684.266666667,2177.00653708975
"288",288,"VMH","H211","IBE2",801,412.5576,241280.9,1709.86431167987
"289",289,"VMH","H216","A1",912.666666666667,149.052333333333,308869.333333333,482.574076632189
"290",290,"VMH","H222","A1",922,482.99485,289879.1,1666.19411333897
"291",291,"VMH","H224","IBE1",912.666666666667,217.091633333333,303772.433333333,714.652185358491
"292",292,"VMH","H236","A2",864.428571428571,431.485385714286,290539.357142857,1485.11853938648
"293",293,"VMH","H241","ENT",692.333333333333,728.3247,302066.666666667,2411.13893180313
"294",294,"VMH","H243","ENT",774.5,577.1054,270448.525,2133.88259373942
"295",295,"VMH","H245","IBE1",903.666666666667,224.7597,286267.933333333,785.137536652727
"296",296,"VMH","H248","A2",1074.5,1479.46795,296924.366666667,4982.64243722671
"297",297,"VMH","H254","ENT",818.333333333333,272.824866666667,276123.933333333,988.052224858454
