Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num 1+,Num 2+,Num 3+,Num Negative,Positive %,H-score,Allred proportion,Allred intensity,Allred score,Area µm^2,Perimeter µm
Image_18.vsi - 40x_03 #5,4adc820c-74a0-4285-a9f8-d8b1d8bcdf71,AVPE_x05,,Image,Polygon,1073.1,1482.3,554,14,10,22,508,8.303,18.05,2,2,4,356494.9,2973.9
Image_18.vsi - 40x_03 #5,adb405bd-eb2c-4bf8-b7ec-139888048ac4,LPO,,Image,Rectangle,1581.6,643.17,871,28,9,19,815,6.429,11.83,2,2,4,605349.2,3156.4
Image_19.vsi - 40x_01 #1,9d197b1e-9b9d-4b0b-b350-06bf766853bd,OVLT,,Image,Polygon,1217,706.53,168,1,0,0,167,0.5952,0.5952,1,1,2,76899.3,1061.1
Image_19.vsi - 40x_01 #1,9f26b2f2-44f8-481d-a72a-cddd12fbccd1,AVPE,,Image,Polygon,1356.6,873.91,695,28,11,11,645,7.194,11.94,2,1,3,700321.3,4149.5
Image_19.vsi - 40x_01 #1,700b5dc6-58f9-46c4-9da7-ac63912b3a5a,MnPO,,Image,Polygon,1684.6,1607.1,229,9,4,2,214,6.55,10.04,2,1,3,300826.8,2559.4
Image_19.vsi - 40x_01 #1,89276f04-bc7e-4f2f-b6c1-e5e197ad8335,LPO,,Image,Rectangle,795.11,1947.6,410,10,2,3,395,3.659,5.61,2,1,3,602895.1,3122.3
Image_19.vsi - 40x_02 #3,9099c6f5-1e72-4f61-a14c-ea00c3f2d35f,OVLT,,Image,Geometry,2156.5,1901,293,0,1,1,291,0.6826,1.706,1,3,4,44493.6,1690.7
Image_19.vsi - 40x_02 #3,c0841735-0669-4cce-a363-09d6032e9d6c,AVPE,,Image,Polygon,1968.9,1585,1125,55,20,12,1038,7.733,11.64,2,1,3,704697.1,3969
Image_19.vsi - 40x_02 #3,287c0a1d-c72d-48a5-9569-b34a5da664c4,MnPO,,Image,Polygon,1789.6,614.73,441,16,10,3,412,6.576,10.2,2,1,3,300353.3,2857.9
Image_19.vsi - 40x_02 #3,cfb7a437-0a31-42c2-afeb-034221238185,LPO,,Image,Rectangle,929.59,1077.6,506,10,1,1,494,2.372,2.964,2,1,3,607306.1,3117.8
Image_19.vsi - 40x_03 #5,19c2f6c4-ef1e-43a5-81b8-93389272bc4c,OVLT,,Image,Polygon,2037.5,2210.9,575,11,6,2,556,3.304,5.043,2,1,3,122795,1907.1
Image_19.vsi - 40x_03 #5,5fa35133-22a0-46cb-9ab8-46c8bec198b5,AVPE,,Image,Polygon,1836.2,1754.1,1471,69,30,33,1339,8.973,15.5,2,2,4,707973,5020.3
Image_19.vsi - 40x_03 #5,3e7cec9b-7808-4853-8be2-a9ad600093d1,MnPO,,Image,Polygon,1749.6,829.42,686,34,10,5,637,7.143,10.06,2,1,3,300048.5,2704.7
Image_19.vsi - 40x_03 #5,d0a14019-7268-4ed0-839e-300395430587,LPO,,Image,Rectangle,2704.2,912.61,990,31,15,13,931,5.96,10.1,2,2,4,605459.8,3112.5
Image_20.vsi - 40x_02 #3,fbb01968-b3fe-4cdd-b120-9585c639d598,OVLT,,Image,Polygon,1063.7,2013.8,427,26,8,13,380,11.01,18.97,3,2,5,79323.8,1212.3
Image_20.vsi - 40x_02 #3,aaaa4c46-5acb-4292-b7c4-5c610c84028e,AVPE,,Image,Polygon,1296.3,1658.4,799,41,27,18,713,10.76,18.65,3,2,5,354329,2386.5
Image_20.vsi - 40x_02 #3,9037f3df-834c-42a5-a8b7-10d17e96da9d,LPO,,Image,Rectangle,1819.3,979.89,1073,15,12,5,1041,2.982,5.033,2,2,4,587745.1,3066.7
Image_20.vsi - 40x_03 #5,377c9808-3c4d-4bd2-9929-ef049cbc5037,OVLT,,Image,Polygon,736.23,1989.6,513,7,7,2,497,3.119,5.263,2,2,4,99597.8,1314.2
Image_20.vsi - 40x_03 #5,4aedfca2-1341-453b-8d29-2209ad208752,AVPE_x05,,Image,Polygon,973.03,1532,734,29,12,23,670,8.719,16.62,2,2,4,344158.2,2490.6
