Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num 1+,Num 2+,Num 3+,Num Negative,Positive %,H-score,Allred proportion,Allred intensity,Allred score,Area µm^2,Perimeter µm,sp6-thresh: pS6 area µm^2,PS6_GAT_GLUT_FULL: DAPI %,PS6_GAT_GLUT_FULL: DAPI area µm^2,PS6_GAT_GLUT_FULL: GAT %,PS6_GAT_GLUT_FULL: GAT area µm^2,PS6_GAT_GLUT_FULL: GLUT %,PS6_GAT_GLUT_FULL: GLUT area µm^2,PS6_GAT_GLUT_FULL: pS6 %,PS6_GAT_GLUT_FULL: pS6 area µm^2,Num pS6
Image_11.vsi - 40x_02,4ab4b331-0f51-4d1b-823d-4e25835a7a54,AVPE_x05,,Image,Geometry,1484.9,1210.7,722,350,251,120,1,99.86,167.87,5,2,7,295327.9,3071.3,14745.7705,34.0177,50447.1523,7.97,11819.2646,56.1312,83240.75,1.8811,2789.5898,
Image_11.vsi - 40x_04,da08823e-58cf-47c0-bbe1-f22538630237,AVPE,,Image,Geometry,1580.8,1520.4,1181,706,332,130,13,98.9,149.03,5,1,6,669355.7,5233.7,13779.0889,18.3876,74600.5859,2.8518,11570.1807,78.188,317217.4062,0.5725,2322.7922,
Image_11.vsi - 40x_04,0a628b68-9286-4c30-9459-740b6e016798,MnPO,,Image,Polygon,1530.8,601.09,474,349,87,29,9,98.1,128.69,5,1,6,279706.6,2311.3,2871.0515,36.146,34468.0078,1.6075,1532.896,61.8497,58978.5273,0.3968,378.3654,
Image_11.vsi - 40x_04,bf754884-7966-4059-a5d9-7ca6f0fbd6d8,MPO,,Image,Geometry,1501,886.59,2450,1526,634,242,48,98.04,143.67,5,1,6,1775365.7,7670,28120.457,17.9012,151313.25,0.6846,5786.833,80.7815,682821.8125,0.6327,5347.814,
Image_11.vsi - 40x_05,796ed92e-c0f8-4c84-a261-d4bc5e779e65,Cg,,Image,Rectangle,238.22,441.87,636,269,167,167,33,94.81,173.58,5,2,7,421047.1,2720.4,17250.127,83.825,39299.0352,1.04,487.5788,1.9934,934.5458,13.1416,6161.0527,
Image_11.vsi - 40x_06,bb33e7ac-0d2e-4aff-b306-66afebeccfe4,Cg,,Image,Rectangle,210.02,449.02,598,243,158,175,22,96.32,181.27,5,2,7,376805.8,2634.2,17444.209,79.6127,38463.6445,1.3313,643.2133,4.8465,2341.5137,14.2095,6865.1045,
Image_11.vsi - 40x_07,c114a648-65d0-468e-8b4a-2ef0c5db17a6,Cg,,Image,Rectangle,263.29,515.38,824,249,232,343,,100,211.41,5,2,7,505119.8,2986.6,38740.4883,42.2931,52689.4844,0.7444,927.3372,46.2446,57612.3281,10.7179,13352.4775,
Image_12.vsi - 40x_02,b7511e54-f858-4a7c-afb6-88d0fb7f77a9,MnPO,,Image,Polygon,1084.3,862.16,452,134,169,149,0,100,203.32,5,2,7,312795.3,2842.4,10651.8232,53.4969,35534.6055,1.1283,749.4692,41.5811,27619.6953,3.7936,2519.8569,
Image_12.vsi - 40x_02,ff563bd2-4edd-4e3f-98f3-9a68e8db87f6,AVPE,,Image,Polygon,1048.1,1741.9,1212,311,463,435,3,99.75,209.74,5,2,7,734971.1,4049.5,38660.2422,36.5229,93870.7344,1.4653,3766.147,57.4888,147757.0781,4.5229,11624.7344,
Image_12.vsi - 40x_02,a65918d0-5e4b-41d2-9cdd-dfaa356b0fd1,MPO_x05,,Image,Polygon,521.14,837.59,1001,286,286,422,7,99.3,212.19,5,2,7,845477.2,3661.5,31335.0449,43.0463,75630.8516,1.7857,3137.4568,49.3196,86652.8516,5.8484,10275.4102,
Image_12.vsi - 40x_03,7fec1e59-759d-47e4-aa0a-aac6f47d36da,AVPE,,Image,Polygon,1306.6,1499.3,1288,776,404,94,14,98.91,144.88,5,1,6,702182.8,4173.5,7898.8843,83.6588,108186.8594,5.1855,6705.8262,10.6707,13799.2861,0.485,627.1586,
Image_12.vsi - 40x_03,7972b071-6f7d-464f-a36a-44b8875ec8cb,MnPO,,Image,Polygon,1295.5,678.87,575,430,110,23,12,97.91,125.04,5,1,6,316863.2,2471.1,1234.2758,96.1461,50731.2734,2.8254,1490.8055,0.8481,447.5216,0.1804,95.1921,
Image_12.vsi - 40x_03,8f9f5a80-4f40-49ab-9667-ad6d104f6a9f,MPO_x05,,Image,Polygon,613.82,821.93,1056,713,267,49,27,97.44,132.01,5,1,6,823105.5,3751.5,3630.7664,93.0714,91663.2812,4.9696,4894.457,1.4709,1448.6887,0.488,480.6077,
Image_12.vsi - 40x_04,9b05a3a0-27df-4b8d-91b1-9950446a01b1,AVPE,,Image,Polygon,1250,1580.4,1302,657,464,178,3,99.77,162.75,5,1,6,720102.6,4879.4,15218.7734,69.6094,99764.75,0.913,1308.5807,27.661,39644,1.8166,2603.5361,
