Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,sp6-thresh: pS6 area µm^2,Num Detections,Num pS6,Area µm^2,Perimeter µm
27606.vsi - 40x_08,e043af8c-ab53-4942-a243-14aadd75ad33,Cg,,Image,Rectangle,529.66,938.86,13426.5742,96,96,500704.9,2831
27606.vsi - 40x_09,971fc8b3-fa8d-4e51-b9d5-3eb6a99b5841,Cg,,Image,Rectangle,523.5,640.08,30180.3555,225,225,498285.1,2833.9
Image_02.vsi - 40x_01,99115639-9434-4fa1-8f82-7a50d0d125d4,MnPO,,Image,Polygon,1085.9,731.16,543.4003,1,1,317790.3,2748.4
Image_02.vsi - 40x_01,9432e8f7-4aa6-48ad-9960-7aabb5d9f705,AVPE,,Image,Polygon,1199,1710.9,17433.4082,124,124,693573,4388.7
Image_02.vsi - 40x_01,a03d1516-3e4a-43b8-abb1-df7298a720dc,MPO,,Image,Geometry,1106.7,893.92,10616.0967,97,97,1725222.8,7631.4
Image_02.vsi - 40x_02,b135683f-6bc0-4d26-8374-64fe41d3abd2,AVPE,,Image,Polygon,1890.3,1770.4,8610.2236,67,67,723870.5,4587.7
Image_02.vsi - 40x_02,3ba18ea8-898e-4e2b-868f-ecb257ce9ff2,MnPO,,Image,Polygon,1878.7,867.81,1277.6337,7,7,296450.6,2605.8
Image_02.vsi - 40x_02,61291819-3f98-43bd-a97d-6d9dad34d63a,MPO,,Image,Geometry,1741.5,956.22,11890.5615,102,102,1722958.4,7850
Image_02.vsi - 40x_02,2a45eace-f177-4709-8431-c02630a047e5,NDB,,Image,Geometry,1869.9,2040.3,29561.4102,220,220,606656.7,4318
Image_02.vsi - 40x_03,b2c13ddc-26f2-4665-87b1-d4af9f190439,AVPE,,Image,Geometry,1619.2,1545.8,3450.2578,30,30,705720.8,5397.5
Image_02.vsi - 40x_03,b4d4f2e7-7a30-4447-95a8-859d3d648ad1,NDB,,Image,Geometry,1449.1,1900.3,14111.4023,103,103,385379.8,3494.7
Image_02.vsi - 40x_03,d1923c80-aca5-4d43-8efe-63de43046083,MPO,,Image,Geometry,1673.1,1097.8,8965.1143,91,91,1761650.5,8982
Image_02.vsi - 40x_04,66d0640a-26c1-466a-ac86-c0f164599b47,Cg,,Image,Rectangle,1360,760.65,34574.4805,251,251,516999.9,3019.5
Image_02.vsi - 40x_05,e7ebc1b6-f5c9-474c-811c-2dcd40fecc41,Cg,,Image,Rectangle,1194.9,822.34,42801.9023,302,302,503950.6,3000.5
