"Date and Time","Time (seconds)","60 deg N day90 lock (lx)"
"2021-03-13 01:07:28",50568.0,3.5227
"2021-03-13 01:12:29",50869.0,3.5227
"2021-03-13 01:17:30",51170.0,3.5227
"2021-03-13 01:22:31",51471.0,3.5227
"2021-03-13 01:27:32",51772.0,3.5227
"2021-03-13 01:32:33",52073.0,3.5227
"2021-03-13 01:37:34",52374.0,3.5227
"2021-03-13 01:42:35",52675.0,3.5227
"2021-03-13 01:47:36",52976.0,3.5227
"2021-03-13 01:52:37",53277.0,3.5227
"2021-03-13 01:57:38",53578.0,3.5227
"2021-03-13 02:02:39",53879.0,3.5227
"2021-03-13 02:07:40",54180.0,3.5227
"2021-03-13 02:12:41",54481.0,3.5227
"2021-03-13 02:17:42",54782.0,3.5227
"2021-03-13 02:22:43",55083.0,3.5227
"2021-03-13 02:27:44",55384.0,3.5227
"2021-03-13 02:32:45",55685.0,3.5227
"2021-03-13 02:37:46",55986.0,3.5227
"2021-03-13 02:42:47",56287.0,3.5227
"2021-03-13 02:47:48",56588.0,3.5227
"2021-03-13 02:52:49",56889.0,3.5227
"2021-03-13 02:57:50",57190.0,3.5227
"2021-03-13 03:02:51",57491.0,3.6847
"2021-03-13 03:07:52",57792.0,3.8542
"2021-03-13 03:12:53",58093.0,4.0315
"2021-03-13 03:17:54",58394.0,4.0315
"2021-03-13 03:22:55",58695.0,4.4109
"2021-03-13 03:27:56",58996.0,5.0481
"2021-03-13 03:32:57",59297.0,4.8261
"2021-03-13 03:37:58",59598.0,5.5232
"2021-03-13 03:42:59",59899.0,6.3209
"2021-03-13 03:48:00",60200.0,6.3209
"2021-03-13 03:53:01",60501.0,7.5667
"2021-03-13 03:58:02",60802.0,9.4746
"2021-03-13 04:03:03",61103.0,9.4746
"2021-03-13 04:08:04",61404.0,12.4094
"2021-03-13 04:13:05",61705.0,15.5384
"2021-03-13 04:18:06",62006.0,20.3514
"2021-03-13 04:23:07",62307.0,20.3514
"2021-03-13 04:28:08",62608.0,24.3623
"2021-03-13 04:33:09",62909.0,29.1638
"2021-03-13 04:38:10",63210.0,34.9115
"2021-03-13 04:43:11",63511.0,34.9115
"2021-03-13 04:48:12",63812.0,41.7921
"2021-03-13 04:53:13",64113.0,41.7921
"2021-03-13 04:58:14",64414.0,39.9542
"2021-03-13 05:03:15",64715.0,45.7253
"2021-03-13 05:08:16",65016.0,54.7370
"2021-03-13 05:13:17",65317.0,54.7370
"2021-03-13 05:18:18",65618.0,68.5390
"2021-03-13 05:23:19",65919.0,82.0470
"2021-03-13 05:28:20",66220.0,82.0470
"2021-03-13 05:33:21",66521.0,98.2172
"2021-03-13 05:38:22",66822.0,112.4039
"2021-03-13 05:43:23",67123.0,128.6397
"2021-03-13 05:48:24",67424.0,128.6397
"2021-03-13 05:53:25",67725.0,147.2207
"2021-03-13 05:58:26",68026.0,161.0762
"2021-03-13 06:03:27",68327.0,161.0762
"2021-03-13 06:08:28",68628.0,184.3423
"2021-03-13 06:13:29",68929.0,201.6915
