"Date and Time","Time (seconds)","iSBJORN19/3-19/4 (lx)"
"2021-03-20 19:11:03",374400.0,4.8261
"2021-03-20 19:41:03",376200.0,4.8261
"2021-03-20 20:11:03",378000.0,4.8261
"2021-03-20 20:41:03",379800.0,4.8261
"2021-03-20 21:11:03",381600.0,4.8261
"2021-03-20 21:41:03",383400.0,4.8261
"2021-03-20 22:11:03",385200.0,4.8261
"2021-03-20 22:41:03",387000.0,4.8261
"2021-03-20 23:11:03",388800.0,4.8261
"2021-03-20 23:41:03",390600.0,4.8261
"2021-03-21 00:11:03",392400.0,4.6138
"2021-03-21 00:41:03",394200.0,4.8261
"2021-03-21 01:11:03",396000.0,4.6138
"2021-03-21 01:41:03",397800.0,4.8261
"2021-03-21 02:11:03",399600.0,4.6138
"2021-03-21 02:41:03",401400.0,4.8261
"2021-03-21 03:11:03",403200.0,201.6915
"2021-03-21 03:41:03",405000.0,220.6734
"2021-03-21 04:11:03",406800.0,230.8242
"2021-03-21 04:41:03",408600.0,220.6734
"2021-03-21 05:11:03",410400.0,192.8219
"2021-03-21 05:41:03",412200.0,192.8219
"2021-03-21 06:11:03",414000.0,220.6734
"2021-03-21 06:41:03",415800.0,210.9691
"2021-03-21 07:11:03",417600.0,220.6734
"2021-03-21 07:41:03",419400.0,220.6734
"2021-03-21 08:11:03",421200.0,220.6734
"2021-03-21 08:41:03",423000.0,210.9691
"2021-03-21 09:11:03",424800.0,192.8219
"2021-03-21 09:41:03",426600.0,192.8219
"2021-03-21 10:11:03",428400.0,201.6915
"2021-03-21 10:41:03",430200.0,220.6734
"2021-03-21 11:11:03",432000.0,192.8219
"2021-03-21 11:41:03",433800.0,192.8219
"2021-03-21 12:11:03",435600.0,192.8219
"2021-03-21 12:41:03",437400.0,230.8242
"2021-03-21 13:11:03",439200.0,201.6915
"2021-03-21 13:41:03",441000.0,220.6734
"2021-03-21 14:11:03",442800.0,201.6915
"2021-03-21 14:41:03",444600.0,192.8219
"2021-03-21 15:11:03",446400.0,201.6915
"2021-03-21 15:41:03",448200.0,201.6915
"2021-03-21 16:11:03",450000.0,192.8219
"2021-03-21 16:41:03",451800.0,192.8219
"2021-03-21 17:11:03",453600.0,192.8219
"2021-03-21 17:41:03",455400.0,220.6734
"2021-03-21 18:11:03",457200.0,201.6915
"2021-03-21 18:41:03",459000.0,220.6734
"2021-03-21 19:11:03",460800.0,4.8261
"2021-03-21 19:41:03",462600.0,4.8261
"2021-03-21 20:11:03",464400.0,4.8261
"2021-03-21 20:41:03",466200.0,4.8261
"2021-03-21 21:11:03",468000.0,4.8261
"2021-03-21 21:41:03",469800.0,4.8261
"2021-03-21 22:11:03",471600.0,4.8261
