"datetime","BAT"
2021-07-28 14:39:27,10.9
2021-07-28 14:39:33,10.9
2021-07-28 14:39:39,10.9
2021-07-28 14:39:51,10.9
2021-07-28 14:39:56,10.9
2021-07-28 14:40:08,10.9
2021-07-28 14:40:13,10.9
2021-07-28 14:40:19,10.9
2021-07-28 14:40:31,10.9
2021-07-28 14:40:42,10.9
2021-07-28 14:40:54,10.9
2021-07-28 14:40:59,10.9
2021-07-28 14:41:05,10.9
2021-07-28 14:41:16,10.9
2021-07-28 14:41:33,10.9
2021-07-28 14:41:39,10.9
2021-07-28 14:41:51,10.9
2021-07-28 14:41:57,10.9
2021-07-28 14:42:14,10.9
2021-07-28 14:42:19,10.9
2021-07-28 14:42:25,10.9
2021-07-28 14:42:31,10.9
2021-07-28 14:42:36,10.9
2021-07-28 14:43:11,10.9
2021-07-28 14:43:17,10.9
2021-07-28 14:43:28,10.9
2021-07-28 14:43:34,10.9
2021-07-28 14:43:39,10.9
2021-07-28 14:43:51,10.9
2021-07-28 14:43:57,10.9
2021-07-28 14:44:08,10.9
2021-07-28 14:44:14,10.9
2021-07-28 14:44:20,10.9
2021-07-28 14:44:31,10.9
2021-07-28 14:44:37,10.9
2021-07-28 14:44:49,10.9
2021-07-28 14:44:55,10.9
2021-07-28 14:45:06,10.9
2021-07-28 14:45:12,10.9
2021-07-28 14:45:24,10.9
2021-07-28 14:45:29,10.9
2021-07-28 14:45:35,10.9
2021-07-28 14:45:40,10.9
2021-07-28 14:45:46,10.9
2021-07-28 14:45:52,10.9
2021-07-28 14:46:15,10.9
2021-07-28 14:46:21,10.9
2021-07-28 14:46:27,10.9
2021-07-28 14:46:33,10.9
2021-07-28 14:46:38,10.9
2021-07-28 14:46:44,10.9
2021-07-28 14:46:56,10.9
2021-07-28 14:47:01,10.9
2021-07-28 14:47:07,10.9
2021-07-28 14:47:13,10.9
2021-07-28 14:47:19,10.9
2021-07-28 14:47:31,10.9
2021-07-28 14:47:42,10.9
2021-07-28 14:47:54,10.9
2021-07-28 14:48:00,10.9
2021-07-28 14:48:05,10.9
2021-07-28 14:48:11,10.9
2021-07-28 14:48:22,10.9
2021-07-28 14:48:28,10.9
2021-07-28 14:48:51,10.9
2021-07-28 14:49:03,10.9
2021-07-28 14:49:09,10.9
2021-07-28 14:49:20,10.9
2021-07-28 14:49:26,10.9
2021-07-28 14:49:31,10.9
2021-07-28 14:49:43,10.9
2021-07-28 14:49:49,10.9
2021-07-28 14:50:18,10.9
2021-07-28 14:50:23,10.9
2021-07-28 14:50:35,10.9
2021-07-28 14:50:41,10.9
2021-07-28 14:50:52,10.9
2021-07-28 14:51:10,10.9
2021-07-28 14:51:15,10.9
2021-07-28 14:51:21,10.9
2021-07-28 14:51:26,10.9
2021-07-28 14:51:44,10.9
2021-07-28 14:51:49,10.9
2021-07-28 14:51:55,10.9
2021-07-28 14:52:01,10.9
2021-07-28 14:52:07,10.9
2021-07-28 14:52:19,10.9
2021-07-28 14:52:30,10.9
2021-07-28 14:52:36,10.9
2021-07-28 14:52:42,10.9
2021-07-28 14:52:47,10.9
2021-07-28 14:52:53,10.9
2021-07-28 14:53:11,10.9
2021-07-28 14:53:16,10.9
2021-07-28 14:53:22,10.9
2021-07-28 14:53:28,10.9
2021-07-28 14:53:33,10.9
2021-07-28 14:53:51,10.8
2021-07-28 14:54:08,10.9
2021-07-28 14:54:14,10.9
2021-07-28 14:54:36,10.9
