Column1,Period,ID,ap_t,unix
573,LP,H298,37.41,1619478484
574,LP,H298,37.25,1619479381
575,LP,H298,37.42,1619480279
576,LP,H298,36.45,1619481176
577,LP,H298,37.27,1619482073
578,LP,H298,37.17,1619482971
579,LP,H298,37.25,1619483868
580,LP,H298,36.76,1619484765
581,LP,H298,36.78,1619485662
582,LP,H298,35.33,1619486561
583,LP,H298,34.65,1619487460
584,LP,H298,36.15,1619488366
585,LP,H298,35.3,1619489265
586,LP,H298,35.19,1619490162
587,LP,H298,36.52,1619491060
588,LP,H298,36.29,1619491958
589,LP,H298,37.15,1619492856
590,LP,H298,36.98,1619493754
591,LP,H298,36.71,1619494652
592,LP,H298,36.58,1619495549
593,LP,H298,35.66,1619496447
594,LP,H298,37.16,1619497344
595,LP,H298,37.17,1619498241
596,LP,H298,36.95,1619499139
597,LP,H298,37.08,1619500037
598,LP,H298,36.54,1619500934
599,LP,H298,37.26,1619501832
600,LP,H298,36.8,1619502729
601,LP,H298,36.01,1619503627
602,LP,H298,35.55,1619504525
603,LP,H298,34.96,1619505424
604,LP,H298,34.68,1619506330
605,LP,H298,35.08,1619507237
606,LP,H298,35.6,1619508134
607,LP,H298,36.18,1619509033
608,LP,H298,36.27,1619509931
609,LP,H298,36.16,1619510829
610,LP,H298,36.18,1619511728
611,LP,H298,36.91,1619512625
612,LP,H298,36.9,1619513523
613,LP,H298,35.93,1619514421
614,LP,H298,36.43,1619515319
615,LP,H298,36.57,1619516217
616,LP,H298,36.6,1619517115
617,LP,H298,36.37,1619518012
618,LP,H298,36.28,1619518911
619,LP,H298,35.57,1619519809
620,LP,H298,36.16,1619520708
621,LP,H298,35.29,1619521606
622,LP,H298,35.85,1619522505
623,LP,H298,36.26,1619523403
624,LP,H298,36.24,1619524302
625,LP,H298,36.16,1619525200
626,LP,H298,34.62,1619526099
627,LP,H298,34.48,1619527005
628,LP,H298,34.92,1619527912
629,LP,H298,36.4,1619528814
630,LP,H298,37.01,1619529715
631,LP,H298,36.68,1619530613
632,LP,H298,36.31,1619531510
633,LP,H298,36.13,1619532409
634,LP,H298,36.43,1619533306
635,LP,H298,36.72,1619534204
636,LP,H298,36.71,1619535101
637,LP,H298,36.6,1619535999
638,LP,H298,36.37,1619536897
639,LP,H298,36.53,1619537795
640,LP,H298,36.29,1619538694
641,LP,H298,36.56,1619539592
642,LP,H298,35.35,1619540490
643,LP,H298,35.33,1619541388
644,LP,H298,36.69,1619542285
645,LP,H298,36.53,1619543184
646,LP,H298,36.67,1619544082
647,LP,H298,36.62,1619544979
648,LP,H298,36.54,1619545877
649,LP,H298,36.52,1619546775
650,LP,H298,36.01,1619547673
651,LP,H298,35.11,1619548572
652,LP,H298,36.1,1619549471
653,LP,H298,34.86,1619550369
654,LP,H298,35.3,1619551274
655,LP,H298,36.34,1619552172
656,LP,H298,35.92,1619553070
657,LP,H298,35.33,1619553969
658,LP,H298,36.67,1619554874
659,LP,H298,35.78,1619555772
660,LP,H298,36.84,1619556668
661,LP,H298,35.33,1619557566
662,LP,H298,35.6,1619558464
663,LP,H298,35.53,1619559362
664,LP,H298,35.07,1619560261
665,SP22,H298,35.26,1619561166
666,SP22,H298,36.38,1619562063
667,SP22,H298,37.48,1619562961
668,SP22,H298,35.73,1619563860
669,SP22,H298,35.7,1619564758
670,SP22,H298,36.71,1619565663
671,SP22,H298,36.44,1619566561
672,SP22,H298,35.04,1619567459
673,SP22,H298,36.32,1619568364
674,SP22,H298,35.75,1619569263
675,SP22,H298,35.56,1619570161
676,SP22,H298,35.07,1619571060
677,SP22,H298,35.03,1619571958
678,SP22,H298,35.66,1619572863
679,SP22,H298,35.66,1619573762
680,SP22,H298,35.48,1619574660
681,SP22,H298,36.18,1619575559
682,SP22,H298,37.46,1619576456
683,SP22,H298,37.28,1619577352
684,SP22,H298,37.49,1619578249
685,SP22,H298,36.06,1619579148
686,SP22,H298,36.73,1619580046
687,SP22,H298,36.52,1619580944
688,SP22,H298,35.29,1619581842
689,SP22,H298,35.31,1619582740
690,SP22,H298,36.12,1619583639
691,SP22,H298,36.51,1619584536
692,SP22,H298,37.11,1619585434
693,SP22,H298,35.44,1619586332
694,SP22,H298,35.23,1619587230
695,SP22,H298,36.77,1619588129
696,SP22,H298,35.35,1619589027
697,SP22,H298,34.54,1619589925
698,SP22,H298,37.26,1619590829
699,SP22,H298,36.77,1619591726
700,SP22,H298,35.95,1619592625
701,SP22,H298,35.48,1619593523
702,SP22,H298,35.31,1619594429
703,SP22,H298,34.51,1619595335
704,SP22,H298,35.22,1619596238
705,SP22,H298,35.89,1619597143
706,SP22,H298,36.48,1619598042
707,SP22,H298,36.37,1619598940
708,SP22,H298,36.39,1619599838
709,SP22,H298,36.48,1619600736
710,SP22,H298,35.15,1619601634
711,SP22,H298,35.22,1619602540
712,SP22,H298,36.37,1619603438
713,SP22,H298,36.31,1619604336
714,SP22,H298,36.21,1619605234
715,SP22,H298,36.3,1619606132
716,SP22,H298,36.77,1619607030
717,SP22,H298,36.58,1619607927
718,SP22,H298,36.28,1619608825
719,SP22,H298,37.34,1619609722
720,SP22,H298,37.19,1619610620
721,SP22,H298,36.73,1619611517
722,SP22,H298,36.43,1619612416
723,SP22,H298,36.28,1619613314
724,SP22,H298,36.02,1619614213
725,SP22,H298,35.86,1619615111
726,SP22,H298,35.45,1619616009
727,SP22,H298,36.34,1619616907
728,SP22,H298,36.23,1619617805
729,SP22,H298,35.59,1619618704
730,SP22,H298,35.9,1619619602
731,SP22,H298,36.44,1619620500
732,SP22,H298,36.87,1619621398
733,SP22,H298,36.11,1619622296
734,SP22,H298,37.45,1619623193
735,SP22,H298,37.17,1619624091
736,SP22,H298,35.29,1619624988
737,SP22,H298,34.86,1619625886
738,SP22,H298,35.24,1619626792
739,SP22,H298,34.97,1619627690
740,SP22,H298,34.51,1619628596
741,SP22,H298,35.55,1619629502
742,SP22,H298,36.03,1619630399
743,SP22,H298,35.74,1619631298
