Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num 1+,Num 2+,Num 3+,Num Negative,Positive %,H-score,Allred proportion,Allred intensity,Allred score,Area µm^2,Perimeter µm
Image_29.vsi - 40x_02 #3,7bbe0f13-1bd9-49ee-bd31-260e507edd8c,OVLT,,Image,Polygon,1768.3,1901.3,265,0,0,0,265,0,0,0,0,0,71983.7,973.44
Image_29.vsi - 40x_02 #3,77987f50-ba27-44da-9466-cd59697818fa,AVPE,,Image,Polygon,1778.5,1583.7,1547,31,16,4,1496,3.297,4.848,2,1,3,710676.1,3849.5
Image_29.vsi - 40x_02 #3,003efafe-9889-4b05-a1d3-2710e258932f,MnPO,,Image,Polygon,1820.4,677.89,540,9,5,1,525,2.778,4.074,2,1,3,309239.9,2575.9
Image_29.vsi - 40x_02 #3,5ab833b2-c23e-4e6f-8b13-20e59ec47525,LPO,,Image,Rectangle,1075.4,668.25,476,4,9,1,462,2.941,5.252,2,2,4,305069.8,2209.7
Image_29.vsi - 40x_03 #5,a2bfd4da-6ab3-40bd-bd0d-a7a48e45d042,AVPE,,Image,Polygon,1469.3,1849,1564,36,10,2,1516,3.069,3.964,2,1,3,706406.8,4245.4
Image_29.vsi - 40x_03 #5,9d0abf03-f1a9-4686-bcc8-286b7ec41a24,MnPO,,Image,Polygon,1578.5,1063.2,666,10,7,2,647,2.853,4.505,2,1,3,308644.9,2459.7
Image_29.vsi - 40x_03 #5,b4e1d19a-fd8d-4efd-b81a-478e5f61e102,LPO,,Image,Rectangle,660.53,1056.5,955,19,8,5,923,3.351,5.236,2,1,3,617950.7,3146.7
Image_29.vsi - 40x_03 #5,5fec7fff-669f-454e-9ebf-7777f6fac1b2,OVLT,,Image,Polygon,1495.4,2298.4,189,0,0,0,189,0,0,0,0,0,55192.3,1059.1
Image_29.vsi - 40x_04 #7,0210aafe-39ac-4a89-81e7-4b1e93635617,AVPE,,Image,Polygon,1424.1,1942.2,1581,50,20,12,1499,5.187,7.97,2,1,3,702641.2,4550.2
Image_29.vsi - 40x_04 #7,a93ffa01-d172-41bd-85a7-828d510a4d41,MnPO,,Image,Polygon,1473.9,1100.6,719,14,6,3,696,3.199,4.868,2,1,3,294230.9,2687.7
Image_29.vsi - 40x_04 #7,9c47828e-5d50-48a3-8a85-0f34c9ad8681,OVLT,,Image,Polygon,1456.3,2380.4,261,18,11,1,231,11.49,16.48,3,1,4,45771.9,890.56
Image_29.vsi - 40x_04 #7,bdba1ca2-ea59-4534-8929-586aba03ec09,LPO,,Image,Rectangle,571.39,1147.8,967,14,11,3,939,2.896,4.654,2,1,3,605927.7,3114.8
Image_31.vsi - 40x_01 #1,29fb4aec-de1b-418d-8bc3-8cca699f66b1,OVLT,,Image,Polygon,1493.8,2087.1,237,0,0,,237,0,0,0,0,0,56508.1,1170.8
Image_31.vsi - 40x_01 #1,5163c4b0-a6a5-4a10-9843-7ae47e2e9e2d,AVPE,,Image,Polygon,1474.2,1916.1,1498,54,10,,1434,4.272,4.94,2,1,3,708954.9,4289.1
Image_31.vsi - 40x_01 #1,578925ad-9ed3-494f-b2b0-9a1cfa545ec6,MnPO,,Image,Polygon,1405.8,1067.7,618,0,0,,618,0,0,0,0,0,295077.1,2513.4
Image_31.vsi - 40x_01 #1,6df1545b-796d-42e2-8ba8-eb42d1a6187f,LPO,,Image,Rectangle,394.55,1328.3,871,3,0,,868,0.3444,0.3444,1,1,2,597817.5,3093.4
Image_31.vsi - 40x_02 #3,cf2cae6f-bc81-4941-9c73-39f5dafa2b9c,OVLT,,Image,Polygon,1930.2,2520.5,476,3,1,0,472,0.8403,1.05,1,1,2,96505.8,1798.7
Image_31.vsi - 40x_02 #3,07d74c93-d621-48da-b11f-077286c0e9ec,AVPE,,Image,Polygon,1935,2354.7,1737,130,25,7,1575,9.326,11.57,2,1,3,700773.8,4786.5
Image_31.vsi - 40x_02 #3,e1eeac65-c5c1-4038-94fd-cd7dd865d3d0,MnPO,,Image,Geometry,1825.8,1154.3,951,42,8,1,900,5.363,6.414,2,1,3,331742,3384.6
Image_31.vsi - 40x_02 #3,62ff5c45-5d20-456e-9f74-d2c743fc288b,LPO,,Image,Rectangle,641.79,1827.5,1006,18,4,0,984,2.187,2.584,2,1,3,603379.9,3112.6
Image_32.vsi - 40x_01 #1,f3228b47-c673-4a6e-9b1d-96c3b523f01b,OVLT,,Image,Polygon,1629,1898.2,308,0,0,0,308,0,0,0,0,0,69091.8,1281.1
