"","Name","ID","group","num_det_mean","num_neg_mean","num_pos_mean","fraq_pos_mean","area_mean","pos_th_mean","neg_th_mean"
"26","ARC","H319","ENT",330.75,329.75,1,0.31125,102336.175,73.44135,102263.046875
"27","ARC","H327","IBE2",260.6,260.6,0,0,105116.06,62.11552,105052.0117
"28","ATAN","H028","T40",330,322.125,7.875,2.3566125,26008.425,876.8492125,25129.0790875
"29","ATAN","H038","T40",181,179.25,1.75,0.96645,22745.525,184.585,22560.371075
"30","ATAN","H069","T40",224.6,215.9,8.7,3.7847,20543.77,834.17007,19709.15323
"31","ATAN","H074","T40",326.833333333333,315.5,11.3333333333333,3.28488333333333,28764.15,1557.7743,27206.2338833333
"32","ATAN","H211","IBE2",277,274,3,1.083,21821.7,161.5605,21658.2188
"33","ATAN","H216","A1",401.333333333333,399,2.33333333333333,0.582266666666667,44644.9,135.135866666667,44509.7422
"34","ATAN","H222","A1",523.666666666667,484,39.6666666666667,7.49633333333333,42585.9,5868.66733333333,36713.8307
"35","ATAN","H224","IBE1",294.666666666667,294.666666666667,0,0,27013.1,140.048933333333,26869.8053333333
"36","ATAN","H236","A2",266,261.571428571429,4.42857142857143,1.08974285714286,23635.5857142857,414.443557142857,23212.6872285714
"37","ATAN","H241","ENT",175.666666666667,175.666666666667,0,0,24393.1666666667,88.2442333333333,24305.8951666667
"38","ATAN","H243","ENT",350.5,348.25,2.25,0.593125,29684.275,113.12385,29569.520525
"39","ATAN","H245","IBE1",237.666666666667,237,0.666666666666667,0.2656,19847.2,72.4836,19775.7672333333
"40","ATAN","H248","A2",299,296.333333333333,2.66666666666667,0.804566666666667,33772.9,389.673783333333,33381.2972166667
"41","ATAN","H254","ENT",297.333333333333,293.666666666667,3.66666666666667,1.17533333333333,26769.9333333333,84.3224666666667,26697.0957
"42","ATAN","H263","A1",179,177.333333333333,1.66666666666667,0.9731,15772.3333333333,157.598933333333,15606.8994
"43","ATAN","H264","IBE1",312,310.75,1.25,0.403875,22463.875,261.491575,22203.783675
"44","ATAN","H268","IBE1",537,522,15,2.6453,37880.0666666667,339.415466666667,37535.9394333333
"45","ATAN","H273","A2",723,702,21,3.02466666666667,61266.4,1859.0124,59394.9544333333
"46","ATAN","H274","IBE2",349,348.333333333333,2,0.1178,35764.7,38.5696666666667,35725.1061333333
"47","ATAN","H275","IBE2",407.25,407.25,0,0,37121.775,138.358025,36969.4497
"48","ATAN","H276","A1",198.75,169,29.75,12.69525,22987.475,2667.40095,20316.358425
"49","ATAN","H278","IBE1",360.25,355.75,4.5,1.11875,33431.7,665.794525,32748.824725
"50","ATAN","H298","A1",592,518.5,73.5,13.13225,48063.4,6695.11705,41378.270525
"51","ATAN","H300","A2",267.5,265.75,1.75,0.653925,27521.75,367.6943,27158.354975
"52","ATAN","H301","IBE2",219.083333333333,218.333333333333,0.818181818181818,0.371566666666667,16665.1166666667,169.31215,16497.8053
"53","ATAN","H319","ENT",265.5,265.5,0,0,30435.675,25.3698,30413.307125
"54","ATAN","H327","IBE2",243.2,243.2,0,0,24770.4,107.91426,24648.84922
"55","AVPE","H028","T40",2209.33333333333,2188.66666666667,20.6666666666667,0.9585,726382.166666667,4421.01863333333,721952.5
"56","AVPE","H038","T40",2170,2145,25,1.57815,696727.325,4756.43475,691967.59375
"57","AVPE","H069","T40",2200.5,2180.5,20,0.918975,715798.55,5163.2082,710641.375
